,symbol,openValue,previousClose,diff,rank
114,NAVINFLUOR,3425.0,3222.2,-0.06293836509217311,1.0
176,AARTIIND,706.15,665.15,-0.0616402315267233,2.0
141,PEL,862.0,815.8,-0.056631527335131215,3.0
50,BPCL,625.0,592.15,-0.05547580849446935,4.0
166,NMDC,267.0,253.0,-0.05533596837944664,5.0
40,NATIONALUM,180.0,170.75,-0.05417276720351391,6.0
89,HINDPETRO,527.9,501.0,-0.053692614770459036,7.0
162,UBL,2010.0,1910.7,-0.05197048202229547,8.0
179,SAIL,161.0,153.05,-0.05194380921267552,9.0
33,PFC,439.6,418.05,-0.05154885779213016,10.0
64,CHAMBLFERT,406.9,387.0,-0.051421188630490895,11.0
25,LALPATHLAB,2344.0,2231.55,-0.050390983845309226,12.0
36,BHEL,286.65,273.15,-0.04942339373970346,13.0
125,RECLTD,536.5,511.3,-0.04928613338548795,14.0
122,COALINDIA,465.35,443.5,-0.04926719278466747,15.0
124,ATUL,6120.0,5836.8,-0.048519736842105234,16.0
148,GRANULES,410.85,392.1,-0.047819433817903594,17.0
180,ICICIGI,1727.6,1651.55,-0.04604765220550389,18.0
6,CUB,152.55,145.9,-0.045579163810829375,19.0
157,ONGC,277.25,265.25,-0.04524033930254477,20.0
5,ABCAPITAL,218.8,209.4,-0.04489016236867242,21.0
70,PETRONET,309.15,295.95,-0.04460212873796246,22.0
164,GAIL,201.85,193.3,-0.044231764097258056,23.0
168,ASIANPAINT,2828.0,2710.1,-0.04350392974428991,24.0
49,BERGEPAINT,501.4,481.25,-0.04187012987012982,25.0
139,IOC,163.0,156.6,-0.04086845466155815,26.0
130,INDIACEM,211.0,202.85,-0.040177471037712624,27.0
81,ZYDUSLIFE,1006.95,968.2,-0.04002272257797975,28.0
145,CHOLAFIN,1270.0,1222.5,-0.03885480572597137,29.0
107,MCX,3903.95,3759.05,-0.03854697330442522,30.0
138,IEX,148.25,142.8,-0.0381652661064425,31.0
55,DIVISLAB,3934.0,3789.95,-0.03800841699758577,32.0
22,AMBUJACEM,596.0,574.3,-0.0377851297231413,33.0
63,HINDCOPPER,371.0,357.55,-0.037617116487204554,34.0
84,SHRIRAMFIN,2448.0,2360.9,-0.03689271040704812,35.0
74,BEL,234.5,226.2,-0.03669319186560571,36.0
37,CANFINHOME,745.8,719.6,-0.036409116175653046,37.0
85,JSWSTEEL,864.7,834.55,-0.03612725420885518,38.0
